Xvec Uvec
-3.000000000000000000e+00 1.000000000000000000e+00
-2.939393939393939448e+00 1.000000000000000000e+00
-2.878787878787878896e+00 1.000000000000000000e+00
-2.818181818181818343e+00 1.000000000000000000e+00
-2.757575757575757791e+00 1.000000000000000000e+00
-2.696969696969696795e+00 1.000000000000000000e+00
-2.636363636363636243e+00 1.000000000000000000e+00
-2.575757575757575690e+00 1.000000000000000000e+00
-2.515151515151515138e+00 1.000000000000000000e+00
-2.454545454545454586e+00 1.000000000000000000e+00
-2.393939393939394034e+00 1.000000000000000000e+00
-2.333333333333333037e+00 1.000000000000000000e+00
-2.272727272727272485e+00 1.000000000000000000e+00
-2.212121212121211933e+00 1.000000000000000000e+00
-2.151515151515151381e+00 1.000000000000000000e+00
-2.090909090909090828e+00 1.000000000000000000e+00
-2.030303030303030276e+00 1.000000000000000000e+00
-1.969696969696969724e+00 1.000000000000000000e+00
-1.909090909090909172e+00 1.000000000000000000e+00
-1.848484848484848397e+00 1.000000000000000000e+00
-1.787878787878787845e+00 1.000000000000000000e+00
-1.727272727272727293e+00 1.000000000000000000e+00
-1.666666666666666519e+00 9.999999999999998890e-01
-1.606060606060605966e+00 9.636363636363635132e-01
-1.545454545454545414e+00 9.272727272727272485e-01
-1.484848484848484862e+00 8.909090909090908728e-01
-1.424242424242424310e+00 8.545454545454546080e-01
-1.363636363636363535e+00 8.181818181818181213e-01
-1.303030303030302983e+00 7.818181818181817455e-01
-1.242424242424242431e+00 7.454545454545454808e-01
-1.181818181818181657e+00 7.090909090909089940e-01
-1.121212121212121104e+00 6.727272727272726183e-01
-1.060606060606060552e+00 6.363636363636363535e-01
-1.000000000000000000e+00 5.999999999999999778e-01
-9.393939393939394478e-01 5.636363636363636020e-01
-8.787878787878788955e-01 5.272727272727273373e-01
-8.181818181818183433e-01 4.909090909090909616e-01
-7.575757575757573470e-01 4.545454545454543638e-01
-6.969696969696967948e-01 4.181818181818180435e-01
-6.363636363636362425e-01 3.818181818181817233e-01
-5.757575757575756903e-01 3.454545454545454031e-01
-5.151515151515151381e-01 3.090909090909090828e-01
-4.545454545454545858e-01 2.727272727272727626e-01
-3.939393939393940336e-01 2.363636363636364146e-01
-3.333333333333330373e-01 1.999999999999998168e-01
-2.727272727272724850e-01 1.636363636363634966e-01
-2.121212121212119328e-01 1.272727272727271486e-01
-1.515151515151513806e-01 9.090909090909082835e-02
-9.090909090909082835e-02 5.454545454545449423e-02
-3.030303030303027612e-02 1.818181818181816359e-02
3.030303030303027612e-02 -1.818181818181816359e-02
9.090909090909082835e-02 -5.454545454545449423e-02
1.515151515151513806e-01 -9.090909090909082835e-02
2.121212121212123769e-01 -1.272727272727274261e-01
2.727272727272729291e-01 -1.636363636363637464e-01
3.333333333333334814e-01 -2.000000000000000944e-01
3.939393939393940336e-01 -2.363636363636364146e-01
4.545454545454545858e-01 -2.727272727272727626e-01
5.151515151515151381e-01 -3.090909090909090828e-01
5.757575757575756903e-01 -3.454545454545454031e-01
6.363636363636366866e-01 -3.818181818181820009e-01
6.969696969696972388e-01 -4.181818181818183211e-01
7.575757575757577911e-01 -4.545454545454546413e-01
8.181818181818183433e-01 -4.909090909090909616e-01
8.787878787878788955e-01 -5.272727272727273373e-01
9.393939393939394478e-01 -5.636363636363636020e-01
1.000000000000000000e+00 -5.999999999999999778e-01
1.060606060606060552e+00 -6.363636363636363535e-01
1.121212121212121104e+00 -6.727272727272726183e-01
1.181818181818181657e+00 -7.090909090909089940e-01
1.242424242424242209e+00 -7.454545454545452587e-01
1.303030303030302761e+00 -7.818181818181816345e-01
1.363636363636363313e+00 -8.181818181818180102e-01
1.424242424242424754e+00 -8.545454545454548301e-01
1.484848484848485306e+00 -8.909090909090912058e-01
1.545454545454545858e+00 -9.272727272727274705e-01
1.606060606060606410e+00 -9.636363636363638463e-01
1.666666666666666963e+00 -1.000000000000000000e+00
1.727272727272727515e+00 -1.000000000000000000e+00
1.787878787878788067e+00 -1.000000000000000000e+00
1.848484848484848619e+00 -1.000000000000000000e+00
1.909090909090909172e+00 -1.000000000000000000e+00
1.969696969696969724e+00 -1.000000000000000000e+00
2.030303030303030276e+00 -1.000000000000000000e+00
2.090909090909090828e+00 -1.000000000000000000e+00
2.151515151515151381e+00 -1.000000000000000000e+00
2.212121212121211933e+00 -1.000000000000000000e+00
2.272727272727272485e+00 -1.000000000000000000e+00
2.333333333333333925e+00 -1.000000000000000000e+00
2.393939393939394478e+00 -1.000000000000000000e+00
2.454545454545455030e+00 -1.000000000000000000e+00
2.515151515151515582e+00 -1.000000000000000000e+00
2.575757575757576134e+00 -1.000000000000000000e+00
2.636363636363636687e+00 -1.000000000000000000e+00
2.696969696969697239e+00 -1.000000000000000000e+00
2.757575757575757791e+00 -1.000000000000000000e+00
2.818181818181818343e+00 -1.000000000000000000e+00
2.878787878787878896e+00 -1.000000000000000000e+00
2.939393939393939448e+00 -1.000000000000000000e+00
3.000000000000000000e+00 -1.000000000000000000e+00
